OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
147082,856,11/13/2008,0,230,40.363833,-105.560133
147088,856,11/13/2008,0,215,40.3633,-105.560125
147089,856,11/13/2008,0,245,40.363558,-105.5601
147061,856,11/13/2008,0,340,40.363508,-105.560091
147072,856,11/13/2008,0,345,40.363158,-105.560058
147094,856,11/13/2008,0,290,40.363558,-105.560058
147097,856,11/13/2008,0,340,40.363575,-105.560058
147100,856,11/13/2008,0,175,40.363475,-105.560058
147104,856,11/13/2008,0,175,40.363475,-105.560058
147074,856,11/13/2008,0,150,40.3633,-105.56005
147095,856,11/13/2008,0,310,40.36345,-105.560041
147084,856,11/13/2008,0,215,40.363533,-105.560033
147059,856,11/13/2008,0,330,40.363483,-105.560025
147067,856,11/13/2008,0,50,40.3634,-105.560025
147078,856,11/13/2008,0,15,40.363566,-105.560025
147096,856,11/13/2008,0,335,40.36345,-105.560025
147105,856,11/13/2008,0,315,40.36355,-105.560025
147069,856,11/13/2008,0,120,40.3633,-105.560016
147087,856,11/13/2008,0,25,40.363491,-105.560016
147092,856,11/13/2008,0,10,40.363525,-105.560008
147098,856,11/13/2008,0,240,40.363633,-105.560008
147062,856,11/13/2008,0,315,40.363475,-105.56
147085,856,11/13/2008,0,280,40.363516,-105.56
147103,856,11/13/2008,0,225,40.363475,-105.56
147093,856,11/13/2008,0,345,40.363558,-105.559991
147068,856,11/13/2008,0,140,40.363416,-105.559983
147075,856,11/13/2008,0,250,40.363491,-105.559983
147076,856,11/13/2008,0,0,40.3634,-105.559983
147086,856,11/13/2008,0,50,40.363541,-105.559983
147063,856,11/13/2008,0,25,40.363433,-105.559975
147080,856,11/13/2008,0,60,40.363433,-105.559975
147101,856,11/13/2008,0,130,40.363591,-105.559966
147077,856,11/13/2008,0,215,40.36355,-105.559958
147079,856,11/13/2008,0,340,40.363566,-105.559958
147070,856,11/13/2008,0,170,40.363208,-105.55995
147066,856,11/13/2008,0,180,40.363433,-105.559941
147081,856,11/13/2008,0,10,40.363408,-105.559941
147065,856,11/13/2008,0,195,40.363558,-105.559925
147064,856,11/13/2008,0,175,40.363508,-105.559916
147060,856,11/13/2008,0,335,40.363458,-105.559875
147071,856,11/13/2008,0,350,40.362208,-105.559825
147099,856,11/13/2008,0,10,40.364108,-105.559791
147083,856,11/13/2008,0,120,40.363275,-105.559483
147091,856,11/13/2008,0,230,40.363958,-105.559283
147149,856,11/14/2008,0,220,40.36345,-105.560175
147129,856,11/14/2008,0,305,40.363766,-105.560133
147121,856,11/14/2008,0,5,40.363583,-105.560108
147114,856,11/14/2008,0,10,40.363508,-105.560083
147144,856,11/14/2008,0,0,40.363616,-105.560083
147134,856,11/14/2008,0,110,40.363325,-105.560066
147108,856,11/14/2008,0,230,40.3635,-105.560058
147138,856,11/14/2008,0,55,40.363533,-105.56005
147126,856,11/14/2008,0,0,40.363508,-105.560041
147137,856,11/14/2008,0,235,40.363433,-105.560041
147142,856,11/14/2008,0,40,40.3635,-105.560041
147132,856,11/14/2008,0,45,40.363525,-105.560033
147148,856,11/14/2008,0,60,40.36355,-105.560033
147120,856,11/14/2008,0,215,40.36345,-105.560025
147113,856,11/14/2008,0,350,40.363508,-105.560016
147135,856,11/14/2008,0,105,40.363566,-105.560016
147146,856,11/14/2008,0,25,40.363458,-105.560016
147112,856,11/14/2008,0,270,40.363725,-105.560008
147116,856,11/14/2008,0,65,40.363641,-105.560008
147115,856,11/14/2008,0,245,40.363583,-105.56
147133,856,11/14/2008,0,285,40.363583,-105.56
147117,856,11/14/2008,0,25,40.363408,-105.559991
147124,856,11/14/2008,0,290,40.363566,-105.559991
147143,856,11/14/2008,0,80,40.363508,-105.559991
147109,856,11/14/2008,0,335,40.363458,-105.559983
147125,856,11/14/2008,0,0,40.3636,-105.559983
147131,856,11/14/2008,0,340,40.3635,-105.559983
147110,856,11/14/2008,0,235,40.363658,-105.559975
147122,856,11/14/2008,0,355,40.363525,-105.559975
147139,856,11/14/2008,0,5,40.363533,-105.559975
147141,856,11/14/2008,0,145,40.363341,-105.559966
147119,856,11/14/2008,0,20,40.363608,-105.559958
147123,856,11/14/2008,0,210,40.363575,-105.559958
147127,856,11/14/2008,0,330,40.363491,-105.559958
147136,856,11/14/2008,0,0,40.363583,-105.559958
147140,856,11/14/2008,0,245,40.36345,-105.559958
147111,856,11/14/2008,0,150,40.363741,-105.55995
147106,856,11/14/2008,0,40,40.363425,-105.559941
147145,856,11/14/2008,0,355,40.363616,-105.559941
147147,856,11/14/2008,0,190,40.363641,-105.559941
