SITE	CAMPSITE	FMSS	UTM_E_27	UTM_N_27	LON_27	LAT_27	LON_DMS_27	LAT_DMS_27	UTM_E_83	UTM_N_83	LON_83	LAT_83	LON_DMS_83	LAT_DMS_83	GPS_DATE	DATAFILE	MAX_PDOP	MAX_HDOP	UNFILT_POS	HORZ_PREC	STD_DEV	East_UTM84	Nor_UTM84
H-4/117	Flatiron	91537	439165.76800	4484928.14700	-105.71808	40.51475	"W105? 43? 05.09"""	"N40? 30? 53.08"""	439119.81992	4485137.69273	-105.71864	40.51473	"W105? 43? 07.11"""	"N40? 30? 53.02"""	7/20/2005	G072015A.cor	6.00000	3.00000	216.00000	2.00000	3.00000	439125.98498000000	4485132.01938000000
H-5/116	Desolation	91536	437973.16100	4485342.76500	-105.73220	40.51839	"W105? 43? 55.91"""	"N40? 31? 06.21"""	437927.19885	4485552.32250	-105.73276	40.51838	"W105? 43? 57.93"""	"N40? 31? 06.15"""	7/21/2005	G072119A.cor	12.00000	8.00000	123.00000	3.00000	6.00000	437933.37506100000	4485546.63838000000
H-6-G/115	Hague Creek	91535	437195.98400	4485194.11000	-105.74136	40.51699	"W105? 44? 28.88"""	"N40? 31? 01.18"""	437150.00669	4485403.67432	-105.74192	40.51698	"W105? 44? 30.9"""	"N40? 31? 01.12"""	7/21/2005	G072119B.cor	7.00000	6.00000	132.00000	1.00000	5.00000	437156.19616300000	4485397.98301000000
H-6-N/115	Hague Creek	91535	437261.11000	4485255.78300	-105.74059	40.51756	"W105? 44? 26.14"""	"N40? 31? 03.2"""	437215.13465	4485465.34683	-105.74116	40.51754	"W105? 44? 28.16"""	"N40? 31? 03.14"""	7/21/2005	G072119B.cor	11.00000	10.00000	164.00000	2.00000	6.00000	437221.32232200000	4485459.65616000000
H-6-S/115	Hague Creek	91535	437256.05200	4485177.02100	-105.74065	40.51685	"W105? 44? 26.32"""	"N40? 31? 00.64"""	437210.07546	4485386.58475	-105.74121	40.51683	"W105? 44? 28.35"""	"N40? 31? 00.58"""	7/21/2005	G072119B.cor	9.00000	9.00000	123.00000	2.00000	5.00000	437216.26431000000	4485380.89397000000
H-7-E/118	Mummy Pass Creek	91538	441431.40900	4485404.18500	-105.69138	40.51920	"W105? 41? 28.98"""	"N40? 31? 09.11"""	441385.50597	4485613.71133	-105.69194	40.51918	"W105? 41? 30.99"""	"N40? 31? 09.05"""	7/20/2005	G072019A.cor	12.00000	11.00000	123.00000	6.00000	9.00000	441391.63151300000	4485608.05857000000
H-7-W/118	Mummy Pass Creek	91538	441371.12300	4485383.15000	-105.69209	40.51900	"W105? 41? 31.53"""	"N40? 31? 08.41"""	441325.21864	4485592.67681	-105.69265	40.51899	"W105? 41? 33.55"""	"N40? 31? 08.35"""	7/20/2005	G072019A.cor	12.00000	11.00000	126.00000	2.00000	6.00000	441331.34536600000	4485587.02352000000
H-8/119	Koenig	91539	440757.53600	4486250.70200	-105.69942	40.52678	"W105? 41? 57.9"""	"N40? 31? 36.39"""	440711.63418	4486460.23673	-105.69998	40.52676	"W105? 41? 59.92"""	"N40? 31? 36.33"""	7/20/2005	G072020A.cor	9.00000	4.00000	124.00000	2.00000	1.00000	440717.75685700000	4486454.57764000000
H-9-L/120	Mirror Lake	91540	441054.47500	4487015.92800	-105.69598	40.53369	"W105? 41? 45.54"""	"N40? 32? 01.28"""	441008.58965	4487225.46228	-105.69654	40.53367	"W105? 41? 47.55"""	"N40? 32? 01.22"""	7/20/2005	G072100A.cor	8.00000	4.00000	176.00000	2.00000	2.00000	441014.69657500000	4487219.80552000000
H-9-M/120	Mirror Lake	91540	441078.08500	4487097.85000	-105.69571	40.53443	"W105? 41? 44.56"""	"N40? 32? 03.95"""	441032.20128	4487307.38431	-105.69627	40.53441	"W105? 41? 46.58"""	"N40? 32? 03.88"""	7/20/2005	G072021A.cor	8.00000	3.00000	123.00000	2.00000	3.00000	441038.30663200000	4487301.72772000000
H-9-U/120	Mirror Lake	91540	441025.56200	4487207.80100	-105.69634	40.53542	"W105? 41? 46.83"""	"N40? 32? 07.5"""	440979.67901	4487417.33606	-105.69690	40.53540	"W105? 41? 48.85"""	"N40? 32? 07.44"""	7/20/2005	G072021A.cor	8.00000	4.00000	123.00000	2.00000	5.00000	440985.78350200000	4487411.67899000000
LL-1-1/015	McGregor Mountain	89040	450924.66000	4474616.72500	-105.57849	40.42263	"W105? 34? 42.56"""	"N40? 25? 21.47"""	450878.77869	4474826.06033	-105.57905	40.42262	"W105? 34? 44.56"""	"N40? 25? 21.42"""	7/19/2005	H071915A.cor	10.00000	6.00000	123.00000	2.00000	4.00000	450884.90580800000	4474820.57220000000
LL-1-2/015	McGregor Mountain	89040	450863.61400	4474636.33100	-105.57921	40.42280	"W105? 34? 45.16"""	"N40? 25? 22.1"""	450817.73197	4474845.66712	-105.57977	40.42279	"W105? 34? 47.16"""	"N40? 25? 22.04"""	7/19/2005	H071916A.cor	9.00000	3.00000	123.00000	2.00000	3.00000	450823.85965900000	4474840.17825000000
LL-2-1/019	Upper Chipmunk	89081	443772.04400	4476818.28000	-105.66299	40.44201	"W105? 39? 46.77"""	"N40? 26? 31.24"""	443726.07603	4477027.70750	-105.66355	40.44200	"W105? 39? 48.79"""	"N40? 26? 31.19"""	7/18/2005	H071816A.cor	11.00000	5.00000	123.00000	2.00000	4.00000	443732.27231800000	4477022.13254000000
LL-2-2/019	Upper Chipmunk	89081	443807.46400	4476806.06300	-105.66257	40.44190	"W105? 39? 45.27"""	"N40? 26? 30.86"""	443761.49645	4477015.49003	-105.66313	40.44189	"W105? 39? 47.28"""	"N40? 26? 30.8"""	7/18/2005	H071816A.cor	10.00000	5.00000	125.00000	2.00000	3.00000	443767.69240400000	4477009.91551000000
LL-3-1/023	Lawn Lake	89123	446739.52300	4479569.04100	-105.62824	40.46699	"W105? 37? 41.65"""	"N40? 28? 01.16"""	446693.63277	4479778.47001	-105.62879	40.46697	"W105? 37? 43.66"""	"N40? 28? 01.1"""	7/14/2005	G071416A.cor	7.00000	4.00000	140.00000	3.00000	3.00000	446699.75854100000	4479772.90031000000
LL-3-2/023	Lawn Lake	89123	446774.30400	4479549.90300	-105.62782	40.46682	"W105? 37? 40.16"""	"N40? 28? 00.55"""	446728.41411	4479759.33147	-105.62838	40.46680	"W105? 37? 42.17"""	"N40? 28? 00.49"""	7/14/2005	G071416A.cor	10.00000	6.00000	132.00000	2.00000	19.00000	446734.53962600000	4479753.76226000000
LL-3-3/023	Lawn Lake	89123	446818.60400	4479491.04000	-105.62730	40.46629	"W105? 37? 38.27"""	"N40? 27? 58.65"""	446772.71415	4479700.46740	-105.62785	40.46627	"W105? 37? 40.27"""	"N40? 27? 58.59"""	7/14/2005	G071416A.cor	12.00000	6.00000	133.00000	2.00000	8.00000	446778.83973500000	4479694.89912000000
LL-3-4/023	Lawn Lake	89123	446852.47900	4479465.21500	-105.62689	40.46606	"W105? 37? 36.82"""	"N40? 27? 57.82"""	446806.58940	4479674.64180	-105.62745	40.46604	"W105? 37? 38.83"""	"N40? 27? 57.76"""	7/14/2005	G071416A.cor	6.00000	4.00000	132.00000	2.00000	3.00000	446812.71481800000	4479669.07406000000
LL-3-5/023	Lawn Lake	89123	446850.32600	4479427.10000	-105.62692	40.46572	"W105? 37? 36.9"""	"N40? 27? 56.58"""	446804.43594	4479636.52641	-105.62747	40.46570	"W105? 37? 38.91"""	"N40? 27? 56.52"""	7/14/2005	G071416A.cor	10.00000	3.00000	122.00000	2.00000	2.00000	446810.56181300000	4479630.95896000000
LL-4-1/017	Lower Tileston	89077	448260.13000	4477765.97100	-105.61015	40.45084	"W105? 36? 36.55"""	"N40? 27? 03.03"""	448214.24342	4477975.36593	-105.61071	40.45082	"W105? 36? 38.56"""	"N40? 27? 02.97"""	7/14/2005	G071418B.cor	10.00000	4.00000	122.00000	3.00000	2.00000	448220.36927300000	4477969.82590000000
LL-5-1/018	Tileston Meadows	89079	447948.75200	4478128.78800	-105.61385	40.45409	"W105? 36? 49.88"""	"N40? 27? 14.72"""	447902.86465	4478338.18984	-105.61441	40.45407	"W105? 36? 51.88"""	"N40? 27? 14.67"""	7/14/2005	G071418A.cor	6.00000	3.00000	122.00000	2.00000	4.00000	447908.99050900000	4478332.64379000000
LL-5-2/018	Tileston Meadows	89079	448021.43100	4477999.62200	-105.61299	40.45293	"W105? 36? 46.75"""	"N40? 27? 10.55"""	447975.54332	4478209.02175	-105.61354	40.45291	"W105? 36? 48.76"""	"N40? 27? 10.49"""	7/14/2005	G071418A.cor	12.00000	5.00000	123.00000	2.00000	4.00000	447981.66968700000	4478203.47747000000
LL-6/016	Bighorn Mountain Group/Stock	89042	448419.99400	4477402.51500	-105.60824	40.44758	"W105? 36? 29.66"""	"N40? 26? 51.28"""	448374.10578	4477611.90447	-105.60880	40.44756	"W105? 36? 31.66"""	"N40? 26? 51.22"""	7/14/2005	G071419A.cor	9.00000	5.00000	124.00000	2.00000	5.00000	448380.23366600000	4477606.36901000000
LL-7/020	Ypsilon Creek	89113	445781.66900	4475735.35200	-105.63921	40.43239	"W105? 38? 21.14"""	"N40? 25? 56.6"""	445735.72047	4475944.74850	-105.63976	40.43237	"W105? 38? 23.15"""	"N40? 25? 56.55"""	7/18/2005	H071818A.cor	9.00000	5.00000	121.00000	2.00000	9.00000	445741.90223700000	4475939.20190000000
LL-8/021	Cutbank	89115	446022.35100	4475879.36000	-105.63638	40.43370	"W105? 38? 10.97"""	"N40? 26? 01.33"""	445976.40784	4476088.75577	-105.63694	40.43369	"W105? 38? 12.98"""	"N40? 26? 01.27"""	7/18/2005	H071819A.cor	12.00000	6.00000	131.00000	2.00000	9.00000	445982.58482300000	4476083.21025000000
LL-9/022	Golden Banner	89116	446287.76400	4476123.09100	-105.63327	40.43592	"W105? 37? 59.78"""	"N40? 26? 09.3"""	446241.82774	4476332.48690	-105.63383	40.43590	"W105? 38? 01.79"""	"N40? 26? 09.24"""	7/14/2005	G071421A.cor	8.00000	3.00000	122.00000	2.00000	3.00000	446247.99846900000	4476326.94185000000
LP-1/040	Andrews Creek	90657	443523.22000	4459969.80200	-105.66443	40.29021	"W105? 39? 51.96"""	"N40? 17? 24.76"""	443477.06243	4460179.04581	-105.66499	40.29020	"W105? 39? 53.98"""	"N40? 17? 24.71"""	7/4/2005	G070420A.cor	8.00000	7.00000	151.00000	3.00000	4.00000	443483.44787100000	4460173.61324000000
LP-10/035	Wind River Bluff	89782	450369.93400	4463045.74800	-105.58413	40.31836	"W105? 35? 02.86"""	"N40? 19? 06.09"""	450323.90914	4463254.96142	-105.58468	40.31834	"W105? 35? 04.86"""	"N40? 19? 06.03"""	7/1/2005	G070118B.cor	6.00000	3.00000	123.00000	2.00000	1.00000	450330.17855100000	4463249.56684000000
LP-1-1/044	Boulderfield	90662	447746.03600	4456998.27500	-105.61451	40.26372	"W105? 36? 52.25"""	"N40? 15? 49.38"""	447699.90415	4457207.44569	-105.61507	40.26370	"W105? 36? 54.26"""	"N40? 15? 49.32"""	8/10/2005	I081021A.cor	0.00000	0.00000	122.00000	2.00000	1.00000	447706.27420000000	4457202.07900000000
LP-1-10/044	Boulderfield (NPS use only)	90662	447714.00300	4456975.54000	-105.61489	40.26351	"W105? 36? 53.6"""	"N40? 15? 48.63"""	447667.87045	4457184.71074	-105.61545	40.26349	"W105? 36? 55.61"""	"N40? 15? 48.58"""	8/10/2005	I081021A.cor	0.00000	0.00000	123.00000	2.00000	1.00000	447674.24112200000	4457179.34395000000
LP-1-2/044	Boulderfield	90662	447726.12300	4457007.00000	-105.61475	40.26379	"W105? 36? 53.1"""	"N40? 15? 49.65"""	447679.99098	4457216.17098	-105.61531	40.26378	"W105? 36? 55.11"""	"N40? 15? 49.6"""	8/10/2005	I081021A.cor	0.00000	0.00000	123.00000	2.00000	1.00000	447686.36115100000	4457210.80403000000
LP-1-3/044	Boulderfield	90662	447727.97300	4456996.20000	-105.61473	40.26370	"W105? 36? 53.02"""	"N40? 15? 49.3"""	447681.84088	4457205.37084	-105.61529	40.26368	"W105? 36? 55.03"""	"N40? 15? 49.25"""	8/10/2005	I081021A.cor	0.00000	0.00000	122.00000	2.00000	1.00000	447688.21115600000	4457200.00400000000
LP-1-4/044	Boulderfield	90662	447719.27100	4456996.16600	-105.61483	40.26369	"W105? 36? 53.38"""	"N40? 15? 49.3"""	447673.13876	4457205.33692	-105.61539	40.26368	"W105? 36? 55.4"""	"N40? 15? 49.25"""	8/10/2005	I081021A.cor	0.00000	0.00000	123.00000	2.00000	1.00000	447679.50913500000	4457199.97000000000
LP-1-5/044	Boulderfield	90662	447709.53200	4456989.25700	-105.61494	40.26363	"W105? 36? 53.79"""	"N40? 15? 49.07"""	447663.39954	4457198.42794	-105.61550	40.26362	"W105? 36? 55.81"""	"N40? 15? 49.02"""	8/10/2005	I081021A.cor	0.00000	0.00000	124.00000	1.00000	1.00000	447669.77011100000	4457193.06098000000
LP-1-6/044	Boulderfield	90662	447693.98000	4456976.51600	-105.61512	40.26352	"W105? 36? 54.45"""	"N40? 15? 48.66"""	447647.84718	4457185.68694	-105.61568	40.26350	"W105? 36? 56.46"""	"N40? 15? 48.6"""	8/10/2005	I081021A.cor	0.00000	0.00000	122.00000	1.00000	2.00000	447654.21807300000	4457180.31995000000
LP-1-7/044	Boulderfield	90662	447720.51600	4456945.24100	-105.61481	40.26324	"W105? 36? 53.32"""	"N40? 15? 47.65"""	447674.38319	4457154.41134	-105.61537	40.26322	"W105? 36? 55.33"""	"N40? 15? 47.59"""	8/10/2005	I081021A.cor	0.00000	0.00000	122.00000	1.00000	2.00000	447680.75413800000	4457149.04487000000
