GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
USC00052212,DENVER INTL AIRPORT 2SW,DENVER,Colorado,5359,39.83,-104.69,M,M,M,M,M,M,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1CODN0264,DENVER 2.1 ENE,DENVER,Colorado,5358,39.74,-104.92,T,T,0,0,0,0,0,0,0,0,0,T,T,1,0.5,T,T,1.5,T,T,2,T,T,T,13,7,3,2.5
US1COAD0207,THORNTON 3.9 NNE,ADAMS,Colorado,5347,39.95,-104.94,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11,M,M,M
US1COAD0127,AURORA 4.2 NNW,ADAMS,Colorado,5341,39.75,-104.85,0,0,0,0,0,0,0,0,0,0,T,T,T,1,2,T,0,1.5,T,0,2.5,1,0,0,10.5,4.5,3,2
US1COFM0019,CANON CITY 1.3 ENE,FREMONT,Colorado,5341,38.45,-105.22,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COFM0034,CANON CITY 2.5 ENE,FREMONT,Colorado,5337,38.45,-105.2,M,M,M,M,M,M,M,M,M,M,M,0.5,T,1,1,0.5,T,2.5,1,M,M,M,M,M,1.7,M,M,M
US1COLR0140,WEL 4.8 NW,LARIMER,Colorado,5337,40.74,-105.08,M,M,M,M,M,M,M,M,M,M,M,M,M,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1CODN0231,DENVER 2.6 SSW,DENVER,Colorado,5329,39.69,-104.97,M,M,M,T,M,M,M,M,M,M,M,M,M,0.5,0.5,T,T,2,M,M,1.5,M,M,M,14,M,M,M
US1COBO0476,BOULDER 2.9 ESE,BOULDER,Colorado,5326,40.01,-105.2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,6.2,M,M,M
US1COBO0067,BOULDER 4.7 E,BOULDER,Colorado,5324,40.0,-105.18,T,T,0,0,0,0,0,0,0,0,0,0.5,0.5,1.5,1.5,1.5,1,6,3.5,2,2.5,2,0.5,T,10,7.5,3.5,3
US1COFM0001,PENROSE 1.2 ESE,FREMONT,Colorado,5324,38.42,-105.0,M,M,M,M,M,M,M,M,M,M,M,M,T,M,0.8,M,T,M,T,0,M,M,M,M,M,M,M,M
US1COMT0060,OLATHE 5.2 NW,MONTROSE,Colorado,5322,38.65,-108.06,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.2,4,2,M,M,M,M,M,M,M,M,M,M
US1COBO0019,BOULDER 4.6 E,BOULDER,Colorado,5314,40.0,-105.17,M,M,M,M,M,M,M,M,M,M,M,M,M,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0918,WELLINGTON 3.7 WNW,LARIMER,Colorado,5313,40.72,-105.07,M,M,M,M,M,M,M,M,M,0,0,0,0.4,2.3,M,2,2,5.5,3,3,2,2,M,M,1.4,1,M,0
US1CODN0280,DENVER 1.1 NE,DENVER,Colorado,5312,39.74,-104.95,0,0,0,0,0,0,0,0,0,0,0,T,T,1.1,1,0.5,T,1.9,0.5,T,1.2,T,0,M,12.8,9,7.5,6
US1COAR0292,ENGLEWOOD 1.4 N,ARAPAHOE,Colorado,5304,39.67,-104.99,0,0,0,0,0,0,0,0,0,0,T,T,T,0.5,0.5,0.5,T,3,2,T,1.5,0.5,T,0,15,11,6.5,4.5
US1COBO0222,LAFAYETTE 2.5 NW,BOULDER,Colorado,5286,40.02,-105.14,M,M,M,M,M,M,M,M,M,T,T,0.5,0.5,1.5,1,1,T,5.5,3.5,T,0.5,T,M,M,7.5,5,2,1
US1COBO0008,LAFAYETTE 0.4 WSW,BOULDER,Colorado,5284,39.99,-105.11,T,T,0,0,0,0,0,T,0,T,0,0.5,T,1,1,1,T,4.5,2.5,0.5,1,T,T,T,8.5,5,2.5,0.5
USW00023062,DENVER-STAPLETON,DENVER,Colorado,5283,39.77,-104.87,0,0,0,0,0,0,0,0,0,0,T,0,T,1,1,1,0,2,1,0,2,1,0,0,11,5,3,2
US1COBO0266,LAFAYETTE 0.8 WSW,BOULDER,Colorado,5279,39.99,-105.11,T,T,T,T,T,T,0,T,T,T,T,0.4,0.5,1.5,1.5,1.5,M,4.3,3,2,2,1,0.5,T,7,5,3,2
USC00056832,RANGELY 1E,RIO BLANCO,Colorado,5276,40.09,-108.77,2,2,2,2,0,2,M,2,2,1,1,1,1,2,2,2,2,1,0,1,1,1,1,1,1,1,M,M
US1COBO0457,BOULDER 0.7 ENE,BOULDER,Colorado,5274,40.03,-105.24,M,M,M,M,M,M,M,T,M,T,T,T,M,1.5,0.5,0.5,M,8.2,1.7,M,T,M,M,M,7.5,4,0.5,0.5
US1COBO0220,BOULDER 4.7 ENE,BOULDER,Colorado,5271,40.06,-105.17,T,M,M,0,0,M,M,T,T,T,T,M,0.3,2.5,1.5,1,T,6.5,2,0.5,0.5,T,T,M,9.5,5,2.5,1
US1COBO0120,BOULDER 3.0 E,BOULDER,Colorado,5265,40.01,-105.21,M,M,M,M,M,M,M,M,M,M,M,M,M,1,M,M,M,5,M,M,M,M,M,M,6,M,M,M
US1COBO0290,LAFAYETTE 2.3 NW,BOULDER,Colorado,5263,40.02,-105.13,M,M,M,M,M,M,M,M,M,M,M,M,0.4,1.7,1.5,1.3,M,5.2,0.5,M,0.3,M,M,M,6.9,3.8,2,M
US1COLR0142,WEL 1.8 NE,LARIMER,Colorado,5261,40.73,-104.97,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,5,M,M,M,M,M,M,M,M,M,0
USC00054546,KIM 10SSE,LAS ANIMAS,Colorado,5256,37.12,-103.3,0,0,0,T,0,0,0,0,0,0,0,T,T,1,1,1,T,1,1,T,0,0,0,0,0,0,0,0
